,Title,Runtime (mins),Year,Release Date,IMDb Rating,Num Votes,Rotten Tomatoes Rating,Metascore,Box Office
0,Pulp Fiction,154 min,1994,14 Oct 1994,8.9,"1,645,131",92%,94,N/A
1,The Amazing Spider-Man 2,142 min,2014,02 May 2014,6.6,"388,759",52%,53,"$183,277,573"
2,The Shawshank Redemption,142 min,1994,14 Oct 1994,9.3,"2,099,597",91%,80,N/A
3,Star Wars: Episode IV - A New Hope,121 min,1977,25 May 1977,8.6,"1,123,397",93%,90,N/A
4,Back to the Future,116 min,1985,03 Jul 1985,8.5,"938,445",96%,87,"$2,925,880"
5,The Breakfast Club,97 min,1985,15 Feb 1985,7.9,"319,029",88%,62,N/A
6,The Goonies,114 min,1985,07 Jun 1985,7.8,"217,534",71%,62,N/A
7,The Silence of the Lambs,118 min,1991,14 Feb 1991,8.6,"1,137,744",96%,85,N/A
8,Jurassic Park,127 min,1993,11 Jun 1993,8.1,"784,720",91%,68,"$45,299,680"
9,The Lion King,88 min,1994,24 Jun 1994,8.5,"838,220",93%,83,"$94,240,635"
10,Se7en,127 min,1995,22 Sep 1995,8.6,"1,288,406",81%,65,N/A
11,Toy Story,81 min,1995,22 Nov 1995,8.3,"796,201",100%,95,N/A
12,The Big Lebowski,117 min,1998,06 Mar 1998,8.1,"664,316",83%,71,N/A
13,Saving Private Ryan,169 min,1998,24 Jul 1998,8.6,"1,107,183",93%,91,N/A
14,Fight Club,139 min,1999,15 Oct 1999,8.8,"1,678,634",79%,66,N/A
15,The Matrix,136 min,1999,31 Mar 1999,8.7,"1,512,929",88%,73,N/A
16,Star Wars: Episode I - The Phantom Menace,136 min,1999,19 May 1999,6.5,"655,666",54%,51,"$431,000,000"
17,Gladiator,155 min,2000,05 May 2000,8.5,"1,215,423",76%,67,N/A
18,X-Men,104 min,2000,14 Jul 2000,7.4,"535,683",81%,64,"$156,164,829"
19,Harry Potter and the Sorcerer's Stone,152 min,2001,16 Nov 2001,7.6,"568,931",81%,64,"$317,557,891"
